STATcube

"Population at the beginning of the year since 1982 (Q)"
"Time section and Bundesland"
"Counting: Number"

Filters:
"Default Summation","Number"


"Time section","Bundesland",
"1990","Burgenland <AT11>",270670,,
,"Carinthia <AT21>",544983,,
,"Lower Austria <AT12>",1455968,,
,"Upper Austria <AT31>",1296826,,
,"Salzburg <AT32>",471835,,
,"Styria <AT22>",1169578,,
,"Tyrol <AT33>",618459,,
,"Vorarlberg <AT34>",323863,,
,"Vienna <AT13>",1492636,,
"1991","Burgenland <AT11>",271604,,
,"Carinthia <AT21>",547752,,
,"Lower Austria <AT12>",1471624,,
,"Upper Austria <AT31>",1311277,,
,"Salzburg <AT32>",480766,,
,"Styria <AT22>",1171663,,
,"Tyrol <AT33>",624114,,
,"Vorarlberg <AT34>",329310,,
,"Vienna <AT13>",1502772,,
"1992","Burgenland <AT11>",274259,,
,"Carinthia <AT21>",552345,,
,"Lower Austria <AT12>",1486756,,
,"Upper Austria <AT31>",1329858,,
,"Salzburg <AT32>",488833,,
,"Styria <AT22>",1177385,,
,"Tyrol <AT33>",632471,,
,"Vorarlberg <AT34>",334543,,
,"Vienna <AT13>",1522449,,
"1993","Burgenland <AT11>",275633,,
,"Carinthia <AT21>",558114,,
,"Lower Austria <AT12>",1504072,,
,"Upper Austria <AT31>",1346059,,
,"Salzburg <AT32>",498611,,
,"Styria <AT22>",1184813,,
,"Tyrol <AT33>",639956,,
,"Vorarlberg <AT34>",337738,,
,"Vienna <AT13>",1537523,,
"1994","Burgenland <AT11>",276300,,
,"Carinthia <AT21>",559735,,
,"Lower Austria <AT12>",1512388,,
,"Upper Austria <AT31>",1355548,,
,"Salzburg <AT32>",503848,,
,"Styria <AT22>",1186112,,
,"Tyrol <AT33>",645858,,
,"Vorarlberg <AT34>",339521,,
,"Vienna <AT13>",1549436,,
"1995","Burgenland <AT11>",277529,,
,"Carinthia <AT21>",560708,,
,"Lower Austria <AT12>",1518489,,
,"Upper Austria <AT31>",1360051,,
,"Salzburg <AT32>",506626,,
,"Styria <AT22>",1186136,,
,"Tyrol <AT33>",649875,,
,"Vorarlberg <AT34>",341408,,
,"Vienna <AT13>",1542667,,
"1996","Burgenland <AT11>",277843,,
,"Carinthia <AT21>",561845,,
,"Lower Austria <AT12>",1522804,,
,"Upper Austria <AT31>",1361888,,
,"Salzburg <AT32>",508253,,
,"Styria <AT22>",1185538,,
,"Tyrol <AT33>",653369,,
,"Vorarlberg <AT34>",342525,,
,"Vienna <AT13>",1539002,,
"1997","Burgenland <AT11>",277566,,
,"Carinthia <AT21>",561549,,
,"Lower Austria <AT12>",1524239,,
,"Upper Austria <AT31>",1363368,,
,"Salzburg <AT32>",510023,,
,"Styria <AT22>",1184587,,
,"Tyrol <AT33>",657694,,
,"Vorarlberg <AT34>",343749,,
,"Vienna <AT13>",1542191,,
"1998","Burgenland <AT11>",277210,,
,"Carinthia <AT21>",561012,,
,"Lower Austria <AT12>",1526848,,
,"Upper Austria <AT31>",1364332,,
,"Salzburg <AT32>",510973,,
,"Styria <AT22>",1184039,,
,"Tyrol <AT33>",660864,,
,"Vorarlberg <AT34>",344963,,
,"Vienna <AT13>",1540875,,
"1999","Burgenland <AT11>",276732,,
,"Carinthia <AT21>",560938,,
,"Lower Austria <AT12>",1530745,,
,"Upper Austria <AT31>",1366578,,
,"Salzburg <AT32>",511233,,
,"Styria <AT22>",1183374,,
,"Tyrol <AT33>",664067,,
,"Vorarlberg <AT34>",346542,,
,"Vienna <AT13>",1542252,,
"2000","Burgenland <AT11>",276226,,
,"Carinthia <AT21>",560696,,
,"Lower Austria <AT12>",1535083,,
,"Upper Austria <AT31>",1370035,,
,"Salzburg <AT32>",512854,,
,"Styria <AT22>",1182930,,
,"Tyrol <AT33>",667459,,
,"Vorarlberg <AT34>",348366,,
,"Vienna <AT13>",1548537,,
"2001","Burgenland <AT11>",275956,,
,"Carinthia <AT21>",559571,,
,"Lower Austria <AT12>",1539416,,
,"Upper Austria <AT31>",1373134,,
,"Salzburg <AT32>",514851,,
,"Styria <AT22>",1182441,,
,"Tyrol <AT33>",671492,,
,"Vorarlberg <AT34>",350129,,
,"Vienna <AT13>",1553956,,
"2002","Burgenland <AT11>",276673,,
,"Carinthia <AT21>",559933,,
,"Lower Austria <AT12>",1544667,,
,"Upper Austria <AT31>",1377802,,
,"Salzburg <AT32>",517050,,
,"Styria <AT22>",1188117,,
,"Tyrol <AT33>",675701,,
,"Vorarlberg <AT34>",352574,,
,"Vienna <AT13>",1571123,,
"2003","Burgenland <AT11>",276542,,
,"Carinthia <AT21>",558623,,
,"Lower Austria <AT12>",1549269,,
,"Upper Austria <AT31>",1382532,,
,"Salzburg <AT32>",517084,,
,"Styria <AT22>",1189315,,
,"Tyrol <AT33>",679457,,
,"Vorarlberg <AT34>",354605,,
,"Vienna <AT13>",1592846,,
"2004","Burgenland <AT11>",276792,,
,"Carinthia <AT21>",558026,,
,"Lower Austria <AT12>",1557291,,
,"Upper Austria <AT31>",1387488,,
,"Salzburg <AT32>",519691,,
,"Styria <AT22>",1192168,,
,"Tyrol <AT33>",683639,,
,"Vorarlberg <AT34>",357068,,
,"Vienna <AT13>",1610410,,
"2005","Burgenland <AT11>",278032,,
,"Carinthia <AT21>",558926,,
,"Lower Austria <AT12>",1568949,,
,"Upper Austria <AT31>",1394726,,
,"Salzburg <AT32>",522369,,
,"Styria <AT22>",1196780,,
,"Tyrol <AT33>",688954,,
,"Vorarlberg <AT34>",360054,,
,"Vienna <AT13>",1632569,,
"2006","Burgenland <AT11>",279127,,
,"Carinthia <AT21>",559277,,
,"Lower Austria <AT12>",1580501,,
,"Upper Austria <AT31>",1400287,,
,"Salzburg <AT32>",524920,,
,"Styria <AT22>",1200854,,
,"Tyrol <AT33>",694253,,
,"Vorarlberg <AT34>",362630,,
,"Vienna <AT13>",1652449,,
"2007","Burgenland <AT11>",280062,,
,"Carinthia <AT21>",559393,,
,"Lower Austria <AT12>",1588567,,
,"Upper Austria <AT31>",1403663,,
,"Salzburg <AT32>",526048,,
,"Styria <AT22>",1202483,,
,"Tyrol <AT33>",697253,,
